Respondent,DatabaseWorkedWith
295,Elasticsearch
296,MySQL
296,SQLite
296,MariaDB
298,MongoDB
298,Redis
298,MySQL
298,PostgreSQL
298,SQLite
298,MariaDB
298,Amazon DynamoDB
298,Memcached
299,PostgreSQL
302,MongoDB
302,Redis
302,MySQL
302,PostgreSQL
302,Memcached
302,Elasticsearch
303,SQL Server
305,IBM Db2
306,SQL Server
306,Oracle
307,SQL Server
307,MySQL
308,SQL Server
308,Oracle
308,IBM Db2
315,MongoDB
315,Redis
317,MySQL
318,Amazon DynamoDB
319,SQL Server
319,SQLite
319,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
319,Elasticsearch
320,MongoDB
320,Redis
320,SQL Server
320,MySQL
320,Neo4j
323,MySQL
323,PostgreSQL
323,SQLite
327,SQL Server
327,MySQL
327,Oracle
328,Cassandra
328,MongoDB
328,Redis
328,SQL Server
328,MySQL
328,MariaDB
328,Amazon DynamoDB
332,MySQL
337,MySQL
337,MariaDB
338,Oracle
340,SQL Server
343,SQL Server
343,MySQL
343,Amazon RDS/Aurora
343,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
344,MongoDB
344,MySQL
344,PostgreSQL
344,Oracle
344,Memcached
344,Elasticsearch
345,MongoDB
345,SQL Server
345,MySQL
346,SQL Server
346,Oracle
350,SQL Server
350,MySQL
350,PostgreSQL
350,SQLite
350,Oracle
350,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
351,SQL Server
351,MySQL
351,PostgreSQL
351,IBM Db2
351,Memcached
351,Elasticsearch
352,Redis
352,PostgreSQL
352,Oracle
357,Redis
357,MySQL
357,PostgreSQL
357,MariaDB
357,Amazon Redshift
357,Amazon RDS/Aurora
357,Elasticsearch
360,MongoDB
360,MySQL
363,MongoDB
363,Redis
363,MySQL
363,PostgreSQL
363,MariaDB
363,Amazon RDS/Aurora
364,Cassandra
364,MongoDB
364,Redis
364,MySQL
364,MariaDB
364,Memcached
364,Elasticsearch
366,SQL Server
366,Elasticsearch
367,PostgreSQL
367,Oracle
369,Cassandra
369,Redis
369,SQLite
369,Google BigQuery
371,Redis
371,SQL Server
371,MySQL
371,Oracle
373,SQLite
377,MySQL
377,Oracle
377,MariaDB
378,MongoDB
378,SQL Server
378,MySQL
378,SQLite
378,MariaDB
378,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
380,MongoDB
380,SQL Server
380,Elasticsearch
383,MongoDB
383,PostgreSQL
384,MySQL
384,PostgreSQL
387,MongoDB
387,PostgreSQL
388,MySQL
393,MySQL
393,Oracle
393,Elasticsearch
395,MongoDB
398,MySQL
398,Memcached
398,Google BigQuery
398,Google Cloud Storage
398,Elasticsearch
399,SQL Server
399,MySQL
399,SQLite
400,Cassandra
400,Redis
400,PostgreSQL
400,MariaDB
400,Amazon RDS/Aurora
400,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
403,MongoDB
404,SQL Server
404,MySQL
404,Oracle
405,SQL Server
405,Oracle
407,SQL Server
407,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
410,SQL Server
410,MySQL
410,PostgreSQL
412,MongoDB
412,Oracle
413,SQL Server
413,MySQL
415,SQL Server
415,SQLite
416,MongoDB
416,MySQL
419,SQL Server
420,MongoDB
420,MySQL
420,SQLite
420,Oracle
422,MongoDB
422,SQL Server
425,SQLite
425,Google Cloud Storage
426,MongoDB
426,Redis
