Respondent,DatabaseWorkedWith
38624,Oracle
38624,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38624,Elasticsearch
38627,MySQL
38627,PostgreSQL
38628,MongoDB
38628,Redis
38628,MySQL
38628,PostgreSQL
38634,MySQL
38634,Amazon RDS/Aurora
38636,Redis
38636,SQL Server
38636,MySQL
38636,PostgreSQL
38636,SQLite
38636,MariaDB
38640,SQL Server
38640,MySQL
38640,Oracle
38640,IBM Db2
38642,SQL Server
38642,MySQL
38642,SQLite
38643,Redis
38643,SQL Server
38643,MySQL
38643,PostgreSQL
38643,MariaDB
38643,Memcached
38643,Elasticsearch
38644,MySQL
38646,Redis
38646,SQL Server
38646,PostgreSQL
38646,SQLite
38646,Oracle
38646,Amazon DynamoDB
38647,Redis
38647,PostgreSQL
38647,SQLite
38647,Amazon RDS/Aurora
38652,MongoDB
38652,SQL Server
38652,MySQL
38659,SQL Server
38659,MySQL
38659,Oracle
38661,MySQL
38661,PostgreSQL
38665,MySQL
38665,MariaDB
38666,MySQL
38666,Amazon RDS/Aurora
38667,SQL Server
38668,MongoDB
38668,MySQL
38670,MariaDB
38671,SQL Server
38671,MySQL
38672,SQL Server
38672,MySQL
38672,SQLite
38673,PostgreSQL
38674,Redis
38674,MySQL
38674,PostgreSQL
38674,SQLite
38675,SQLite
38676,MongoDB
38676,PostgreSQL
38676,Amazon Redshift
38677,Redis
38677,MySQL
38678,MongoDB
38678,Redis
38678,PostgreSQL
38679,Redis
38679,SQL Server
38679,MySQL
38679,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38680,SQL Server
38681,SQL Server
38681,MySQL
38683,SQL Server
38683,MySQL
38683,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38683,Elasticsearch
38684,Redis
38684,PostgreSQL
38687,MongoDB
38687,MySQL
38688,MongoDB
38688,SQL Server
38688,MySQL
38689,Cassandra
38689,MongoDB
38689,SQL Server
38689,MySQL
38689,MariaDB
38689,Elasticsearch
38692,MySQL
38693,Cassandra
38695,MySQL
38696,Redis
38696,MySQL
38696,MariaDB
38697,SQLite
38699,MySQL
38701,MySQL
38705,SQL Server
38705,MySQL
38706,Cassandra
38706,MongoDB
38706,MySQL
38706,Apache HBase
38706,Apache Hive
38712,MySQL
38712,Elasticsearch
38715,MongoDB
38716,PostgreSQL
38716,MariaDB
38718,MongoDB
38718,PostgreSQL
38719,MySQL
38720,MongoDB
38720,SQL Server
38720,MySQL
38720,PostgreSQL
38720,SQLite
38720,Apache HBase
38720,Apache Hive
38721,Cassandra
38721,SQL Server
38721,PostgreSQL
38721,SQLite
38721,Oracle
38722,Redis
38722,SQL Server
38722,MySQL
38722,SQLite
38722,Amazon RDS/Aurora
38724,MySQL
38724,SQLite
38727,Redis
38727,PostgreSQL
38727,Amazon RDS/Aurora
38729,MySQL
38729,PostgreSQL
38729,Elasticsearch
38730,SQL Server
38731,MongoDB
38731,Redis
38731,SQL Server
38731,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38732,SQL Server
38735,MongoDB
38735,MySQL
38735,PostgreSQL
38737,SQL Server
38737,MySQL
38737,MariaDB
38738,SQLite
38740,MongoDB
38740,Elasticsearch
38741,SQL Server
38741,PostgreSQL
38741,SQLite
38741,Elasticsearch
38743,SQL Server
38744,PostgreSQL
38748,MongoDB
38748,MySQL
38748,SQLite
38748,Oracle
38751,SQL Server
38751,PostgreSQL
38752,Redis
38752,MySQL
38752,PostgreSQL
38753,SQL Server
38753,MySQL
38753,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38754,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38755,SQL Server
38755,PostgreSQL
38755,Google BigQuery
38755,Google Cloud Storage
38755,Elasticsearch
38756,SQL Server
38756,MySQL
38757,SQL Server
38758,Redis
38758,PostgreSQL
38758,Amazon Redshift
38758,Amazon RDS/Aurora
38758,Elasticsearch
38760,SQL Server
38761,SQL Server
38762,MySQL
38765,SQL Server
38765,MySQL
38765,SQLite
38765,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38766,MySQL
38766,MariaDB
38768,SQL Server
38768,PostgreSQL
38769,MySQL
38769,PostgreSQL
38770,MongoDB
38770,MySQL
38770,PostgreSQL
38773,SQL Server
38774,PostgreSQL
38774,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38776,SQL Server
38776,MySQL
38776,MariaDB
38778,PostgreSQL
38779,MongoDB
38779,SQL Server
38779,Oracle
38779,Apache Hive
38779,Neo4j
38780,SQL Server
38780,MySQL
38780,PostgreSQL
38781,Cassandra
38781,SQL Server
38781,MySQL
38781,PostgreSQL
38781,SQLite
38781,Oracle
38781,Elasticsearch
38782,MongoDB
38782,Redis
38782,MySQL
38782,PostgreSQL
38782,MariaDB
38782,Amazon DynamoDB
38782,Memcached
38782,Amazon RDS/Aurora
38782,Google BigQuery
38782,Google Cloud Storage
38782,Neo4j
38782,Elasticsearch
38787,MongoDB
38787,MySQL
38787,MariaDB
38787,Amazon RDS/Aurora
38789,Elasticsearch
38791,MySQL
38791,PostgreSQL
38791,Amazon DynamoDB
38791,Amazon Redshift
38791,Amazon RDS/Aurora
38792,MySQL
38793,SQL Server
38795,Redis
38795,SQL Server
38796,Oracle
38797,SQL Server
38797,MySQL
38797,PostgreSQL
38798,MongoDB
38798,Redis
38798,SQL Server
38798,MySQL
38798,Elasticsearch
38799,Apache Hive
38800,SQLite
38802,SQL Server
38802,MySQL
38802,SQLite
38803,SQL Server
38803,MySQL
38804,SQL Server
38807,PostgreSQL
38808,SQL Server
38808,MySQL
38808,PostgreSQL
38815,MySQL
38815,Google Cloud Storage
38816,MongoDB
38816,Redis
38816,SQL Server
38816,MySQL
38816,Amazon RDS/Aurora
38816,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38817,MySQL
38817,Amazon RDS/Aurora
38817,Elasticsearch
38820,SQL Server
38820,SQLite
38820,Oracle
38823,MongoDB
38823,SQL Server
38824,Redis
38824,PostgreSQL
38824,Amazon RDS/Aurora
38827,SQL Server
38827,MySQL
38829,PostgreSQL
38830,MongoDB
38830,MySQL
38830,PostgreSQL
38831,SQL Server
38832,MySQL
38832,PostgreSQL
38832,Amazon RDS/Aurora
38834,MongoDB
38834,PostgreSQL
38835,MySQL
38835,PostgreSQL
38835,SQLite
38835,MariaDB
38835,IBM Db2
38836,MySQL
38838,SQL Server
38838,MySQL
38838,PostgreSQL
38838,SQLite
38838,Oracle
38838,Amazon DynamoDB
38839,SQL Server
38839,MySQL
38839,PostgreSQL
38841,SQL Server
38841,MySQL
38841,SQLite
38841,Oracle
38844,MySQL
38844,PostgreSQL
38844,SQLite
38847,SQL Server
38847,MySQL
38847,PostgreSQL
38847,Elasticsearch
38848,MongoDB
38848,SQL Server
38848,MySQL
38848,SQLite
38848,Oracle
38848,IBM Db2
38851,SQL Server
38851,MySQL
38851,Memcached
38852,SQL Server
38852,MySQL
38852,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38853,MySQL
38853,PostgreSQL
38853,Amazon DynamoDB
38853,Elasticsearch
38856,PostgreSQL
38856,SQLite
38856,MariaDB
38859,MongoDB
38859,MySQL
38859,SQLite
38859,MariaDB
38861,PostgreSQL
38864,SQL Server
38869,SQL Server
38869,MySQL
38869,SQLite
38870,MySQL
38870,SQLite
38870,MariaDB
38871,MongoDB
38871,SQL Server
38871,MySQL
38871,Oracle
38873,MongoDB
38873,SQL Server
38873,MySQL
38873,MariaDB
38873,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38875,MongoDB
38875,SQL Server
38875,MySQL
38876,MongoDB
38876,MySQL
38878,MySQL
38881,SQL Server
38881,Oracle
38883,SQL Server
38883,MySQL
38884,SQL Server
38884,MySQL
38884,PostgreSQL
38884,SQLite
38884,MariaDB
38885,MongoDB
38885,MySQL
38886,MongoDB
38886,SQL Server
38886,SQLite
38886,MariaDB
38886,Elasticsearch
38887,MongoDB
38887,Redis
38887,MySQL
38887,Memcached
38888,Redis
38888,SQL Server
38888,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38889,SQL Server
38890,MySQL
38892,MySQL
38893,SQL Server
38894,SQL Server
38894,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38894,Elasticsearch
38899,MongoDB
38899,SQL Server
38899,MySQL
38899,SQLite
38902,MySQL
38904,SQL Server
38906,SQL Server
38906,IBM Db2
38909,MongoDB
38909,IBM Db2
38910,MySQL
38910,PostgreSQL
38910,Elasticsearch
38914,MongoDB
38914,SQL Server
38914,MySQL
38914,PostgreSQL
38914,SQLite
38914,Oracle
38914,Amazon RDS/Aurora
38916,MongoDB
38916,Redis
38916,MySQL
38916,Elasticsearch
38917,MongoDB
38917,Redis
38917,SQL Server
38917,MySQL
38917,PostgreSQL
38917,Amazon Redshift
38917,Amazon RDS/Aurora
38917,Google BigQuery
38917,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38917,Elasticsearch
38919,MongoDB
38919,SQL Server
38919,MySQL
38922,MongoDB
38922,PostgreSQL
38922,SQLite
38923,MongoDB
38925,SQL Server
38925,Oracle
38926,MySQL
38926,PostgreSQL
38926,Apache HBase
38926,Apache Hive
38927,SQL Server
38927,MySQL
38927,SQLite
38927,Amazon DynamoDB
38927,Amazon RDS/Aurora
38927,Neo4j
38929,SQL Server
38929,MySQL
38932,SQL Server
38933,SQL Server
38933,MySQL
38933,SQLite
38938,SQL Server
38939,PostgreSQL
38939,Amazon RDS/Aurora
38940,MySQL
38940,PostgreSQL
38940,SQLite
38940,Elasticsearch
38941,MySQL
38941,PostgreSQL
38941,Amazon RDS/Aurora
38941,Elasticsearch
38942,Google Cloud Storage
38945,SQL Server
38945,MySQL
38945,PostgreSQL
38945,SQLite
38946,SQLite
38947,SQL Server
38947,MySQL
38948,MySQL
38949,PostgreSQL
38949,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38950,MySQL
38950,PostgreSQL
38954,Google Cloud Storage
38957,SQL Server
38957,MySQL
38960,Redis
38960,MySQL
38960,Amazon DynamoDB
38961,SQL Server
38961,MySQL
38961,MariaDB
38962,MongoDB
38962,Redis
38962,Amazon DynamoDB
38962,Elasticsearch
38964,MongoDB
38964,Redis
38964,PostgreSQL
38964,SQLite
38964,Neo4j
38964,Elasticsearch
38968,MySQL
38969,Cassandra
38969,MongoDB
38969,Redis
38969,SQL Server
38969,MySQL
38969,PostgreSQL
38969,Oracle
38969,MariaDB
38969,Apache Hive
38969,Elasticsearch
38970,MySQL
38970,PostgreSQL
38973,SQL Server
38974,PostgreSQL
38974,Neo4j
38975,SQL Server
38976,SQL Server
38976,IBM Db2
38978,SQL Server
38979,PostgreSQL
38979,MariaDB
38979,Amazon RDS/Aurora
38981,Redis
38981,MySQL
38981,PostgreSQL
38981,Elasticsearch
38982,MySQL
38984,PostgreSQL
38989,Cassandra
38989,MongoDB
38989,Redis
38989,PostgreSQL
38990,SQL Server
38990,MySQL
38991,MongoDB
38991,Redis
38991,SQL Server
38991,MySQL
38991,PostgreSQL
38991,IBM Db2
38991,Amazon DynamoDB
38991,Apache HBase
38991,Apache Hive
38991,Memcached
38991,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
38991,Neo4j
38993,SQL Server
38994,MongoDB
38994,Redis
38994,Google BigQuery
38994,Google Cloud Storage
38995,Oracle
38995,MariaDB
38995,Elasticsearch
38996,MySQL
38996,Amazon RDS/Aurora
38997,MySQL
38999,SQL Server
39000,SQL Server
39000,MySQL
39000,MariaDB
39001,MySQL
39001,PostgreSQL
39004,SQL Server
39004,MySQL
39004,PostgreSQL
39004,Google Cloud Storage
39006,SQL Server
39008,MongoDB
39008,Redis
39008,MariaDB
39010,PostgreSQL
39011,PostgreSQL
39011,SQLite
39012,MongoDB
39012,Redis
39012,MySQL
39012,PostgreSQL
39012,MariaDB
39012,Amazon RDS/Aurora
39016,Redis
39016,SQL Server
39021,SQL Server
39021,MySQL
39022,MongoDB
39022,PostgreSQL
39026,Redis
39026,SQL Server
39026,MySQL
39026,Oracle
39026,IBM Db2
39026,Memcached
39027,MySQL
39027,PostgreSQL
39029,MySQL
39029,Apache Hive
39031,MySQL
39031,PostgreSQL
39031,Memcached
39031,Elasticsearch
39033,MySQL
39038,MySQL
39038,Oracle
39038,Apache Hive
39040,PostgreSQL
39040,Neo4j
39042,SQLite
39042,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39044,SQL Server
39045,SQL Server
39047,SQL Server
39047,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39048,PostgreSQL
39049,SQL Server
39049,MySQL
39049,Oracle
39049,Apache Hive
39051,MySQL
39051,PostgreSQL
39051,Memcached
39053,SQL Server
39053,MySQL
39053,SQLite
39053,MariaDB
39053,Google Cloud Storage
39054,MongoDB
39054,MySQL
39055,MySQL
39055,Amazon DynamoDB
39055,Memcached
39055,Elasticsearch
39058,SQL Server
39058,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39059,SQL Server
39059,PostgreSQL
39059,Elasticsearch
39061,Redis
39061,MySQL
39063,MySQL
39064,PostgreSQL
39065,SQL Server
39065,MySQL
39066,SQL Server
39068,MySQL
39068,MariaDB
39068,Neo4j
39070,MongoDB
39071,MySQL
39071,MariaDB
39072,MySQL
39072,Google Cloud Storage
39073,PostgreSQL
39074,Oracle
39075,MongoDB
39075,SQL Server
39075,PostgreSQL
39075,Elasticsearch
39076,MySQL
39077,MySQL
39080,MongoDB
39080,Redis
39080,Google Cloud Storage
39081,MongoDB
39081,Redis
39081,SQL Server
39081,MySQL
39081,PostgreSQL
39081,SQLite
39081,Oracle
39081,MariaDB
39081,Memcached
39081,Amazon RDS/Aurora
39081,Neo4j
39081,Elasticsearch
39083,MySQL
39086,MongoDB
39086,MySQL
39086,Apache HBase
39087,SQL Server
39087,MySQL
39087,PostgreSQL
39087,SQLite
39087,Oracle
39087,MariaDB
39088,MongoDB
39088,MySQL
39088,PostgreSQL
39089,MongoDB
39089,Redis
39089,PostgreSQL
39091,Oracle
39093,SQLite
39093,Google Cloud Storage
39094,SQLite
39095,SQL Server
39097,MongoDB
39097,SQL Server
39097,MySQL
39097,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39098,Cassandra
39098,MongoDB
39098,Redis
39098,SQL Server
39098,MySQL
39098,PostgreSQL
39098,MariaDB
39098,Amazon DynamoDB
39098,Neo4j
39098,Elasticsearch
39099,MongoDB
39099,Redis
39099,PostgreSQL
39099,Elasticsearch
39101,Redis
39101,PostgreSQL
39101,Amazon Redshift
39101,Amazon RDS/Aurora
39102,SQL Server
39105,Redis
39105,MySQL
39105,Amazon RDS/Aurora
39110,SQL Server
39110,MySQL
39110,Oracle
39111,MongoDB
39111,MySQL
39111,SQLite
39111,MariaDB
39111,Elasticsearch
39113,SQL Server
39113,MySQL
39115,MySQL
39117,Redis
39117,MySQL
39117,PostgreSQL
39117,Amazon DynamoDB
39118,Redis
39118,MySQL
39118,PostgreSQL
39118,Oracle
39118,MariaDB
39119,MySQL
39119,PostgreSQL
39119,SQLite
39119,Amazon DynamoDB
39119,Amazon RDS/Aurora
39120,Redis
39120,SQL Server
39121,MongoDB
39121,SQL Server
39121,SQLite
39122,SQL Server
39125,MySQL
39127,MySQL
39128,SQLite
39133,SQL Server
39134,SQL Server
39134,MySQL
39134,PostgreSQL
39134,SQLite
39134,Oracle
39135,Cassandra
39135,Redis
39135,MySQL
39135,SQLite
39135,Google Cloud Storage
39135,Elasticsearch
39136,MongoDB
39136,SQL Server
39136,PostgreSQL
39136,MariaDB
39136,Amazon RDS/Aurora
39139,MySQL
39139,Oracle
39141,MySQL
39141,PostgreSQL
39142,Oracle
39144,MySQL
39144,PostgreSQL
39146,MongoDB
39146,MySQL
39146,SQLite
39147,Oracle
39150,SQL Server
39150,MySQL
39151,MongoDB
39151,SQL Server
39153,MySQL
39162,MongoDB
39162,Redis
39162,SQL Server
39162,MySQL
39162,PostgreSQL
39162,Memcached
39162,Amazon RDS/Aurora
39162,Google BigQuery
39164,MongoDB
39164,SQL Server
39164,MySQL
39165,MySQL
39166,SQL Server
39166,MySQL
39166,MariaDB
39168,SQL Server
39168,PostgreSQL
39168,Amazon DynamoDB
39168,Amazon RDS/Aurora
39168,Google Cloud Storage
39168,Neo4j
39168,Elasticsearch
39169,MongoDB
39169,SQL Server
39169,MySQL
39169,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39171,Redis
39171,MySQL
39171,MariaDB
39171,Amazon DynamoDB
39175,MySQL
39175,MariaDB
39176,Cassandra
39176,MongoDB
39176,Redis
39176,SQL Server
39176,MySQL
39176,PostgreSQL
39176,Amazon RDS/Aurora
39176,Elasticsearch
39179,MySQL
39180,Cassandra
39180,PostgreSQL
39180,Oracle
39181,Cassandra
39181,MongoDB
39181,SQL Server
39181,MySQL
39181,SQLite
39181,Oracle
39181,Apache HBase
39181,Apache Hive
39181,Google BigQuery
39185,Redis
39187,MySQL
39187,PostgreSQL
39188,SQL Server
39190,SQL Server
39190,SQLite
39191,MySQL
39191,MariaDB
39194,SQLite
39198,MongoDB
39198,MySQL
39202,SQL Server
39202,MySQL
39202,PostgreSQL
39202,Oracle
39203,Oracle
39204,SQL Server
39206,MySQL
39207,MySQL
39207,PostgreSQL
39208,MySQL
39208,PostgreSQL
39208,SQLite
39209,MySQL
39209,PostgreSQL
39211,SQL Server
39211,Oracle
39214,MongoDB
39214,Redis
39214,SQL Server
39214,MySQL
39214,PostgreSQL
39214,MariaDB
39214,Amazon DynamoDB
39214,Memcached
39218,PostgreSQL
39218,SQLite
39219,MongoDB
39219,SQL Server
39219,MySQL
39219,MariaDB
39219,Google Cloud Storage
39220,SQL Server
39220,MySQL
39220,Oracle
39222,Redis
39222,Amazon Redshift
39227,PostgreSQL
39227,Elasticsearch
39228,Redis
39228,MySQL
39228,PostgreSQL
39228,Elasticsearch
39230,SQL Server
39231,MongoDB
39231,MySQL
39231,MariaDB
39232,MongoDB
39232,SQL Server
39232,SQLite
39232,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39233,MongoDB
39233,Redis
39233,MySQL
39233,Apache Hive
39233,Amazon RDS/Aurora
39233,Elasticsearch
39234,Cassandra
39234,MongoDB
39234,Redis
39234,SQL Server
39234,MySQL
39234,PostgreSQL
39234,SQLite
39234,Oracle
39234,MariaDB
39234,IBM Db2
39234,Amazon DynamoDB
39234,Apache HBase
39234,Apache Hive
39234,Memcached
39234,Amazon Redshift
39234,Amazon RDS/Aurora
39234,Google BigQuery
39234,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39234,Google Cloud Storage
39234,Neo4j
39234,Elasticsearch
39236,SQL Server
39237,MongoDB
39240,Cassandra
39240,SQL Server
39241,SQL Server
39241,MySQL
39241,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39242,MongoDB
39242,MySQL
39242,PostgreSQL
39242,MariaDB
39245,Redis
39245,PostgreSQL
39246,MySQL
39246,IBM Db2
39247,MySQL
39248,SQL Server
39250,SQLite
39251,MariaDB
39251,Apache HBase
39251,Apache Hive
39251,Elasticsearch
39253,MongoDB
39253,PostgreSQL
39253,Amazon DynamoDB
39254,MongoDB
39254,SQL Server
39254,MySQL
39254,PostgreSQL
39254,Oracle
39254,MariaDB
39255,MySQL
39255,PostgreSQL
39255,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39256,SQL Server
39256,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39257,Cassandra
39257,MongoDB
39257,PostgreSQL
39257,Oracle
39258,Cassandra
39260,SQL Server
39260,PostgreSQL
39261,SQL Server
39261,MySQL
39261,PostgreSQL
39261,SQLite
39261,MariaDB
39263,SQL Server
39263,MySQL
39264,MongoDB
39264,SQL Server
39264,MySQL
39264,Oracle
39264,IBM Db2
39264,Amazon RDS/Aurora
39267,MySQL
39267,Google Cloud Storage
39269,MongoDB
39269,MySQL
39269,PostgreSQL
39269,SQLite
39269,Oracle
39270,Redis
39270,MySQL
39270,MariaDB
39271,MongoDB
39271,SQL Server
39272,MySQL
39272,PostgreSQL
39272,Oracle
39273,SQL Server
39273,Oracle
39275,Redis
39275,MySQL
39275,PostgreSQL
39275,SQLite
39275,Amazon RDS/Aurora
39278,SQL Server
39278,MySQL
39278,Oracle
39279,SQL Server
39280,SQL Server
39281,Redis
39281,MySQL
39281,Amazon RDS/Aurora
39281,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39284,MySQL
39284,Oracle
39286,SQL Server
39286,MySQL
39286,IBM Db2
39286,Amazon DynamoDB
39288,MySQL
39288,Amazon DynamoDB
39288,Amazon RDS/Aurora
39291,Oracle
39291,Amazon DynamoDB
39292,MongoDB
39292,MySQL
39292,PostgreSQL
39292,SQLite
39292,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39293,Apache Hive
39294,PostgreSQL
39294,Amazon RDS/Aurora
39295,MongoDB
39295,Redis
39295,Elasticsearch
39296,SQLite
39298,MySQL
39299,MongoDB
39299,SQL Server
39299,PostgreSQL
39304,SQL Server
39305,SQL Server
39305,SQLite
39307,Cassandra
39307,Redis
39307,PostgreSQL
39308,MySQL
39308,Google Cloud Storage
39310,SQL Server
39310,Oracle
39311,MySQL
39311,MariaDB
39312,SQLite
39312,Oracle
39313,MongoDB
39313,SQL Server
39313,PostgreSQL
39314,SQL Server
39314,MySQL
39314,SQLite
39316,SQL Server
39316,MySQL
39316,SQLite
39316,Oracle
39316,IBM Db2
39317,Redis
39317,PostgreSQL
39319,Redis
39319,MySQL
39319,PostgreSQL
39321,Redis
39321,MySQL
39321,PostgreSQL
39321,SQLite
39321,Elasticsearch
39322,PostgreSQL
39322,Oracle
39323,MySQL
39323,PostgreSQL
39323,SQLite
39323,Oracle
39325,SQLite
39325,MariaDB
39325,IBM Db2
39327,MongoDB
39327,MySQL
39328,SQL Server
39328,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39329,MongoDB
39329,Redis
39329,SQL Server
39329,MySQL
39329,PostgreSQL
39329,SQLite
39329,Oracle
39329,Google BigQuery
39329,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39331,MongoDB
39331,SQL Server
39331,MySQL
39331,SQLite
39331,Oracle
39331,MariaDB
39331,Memcached
39332,MySQL
39333,SQL Server
39337,SQLite
39337,Neo4j
39338,SQL Server
39338,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39339,SQL Server
39343,SQL Server
39343,Oracle
39346,MySQL
39350,MySQL
39350,Neo4j
39353,MySQL
39354,SQL Server
39354,Amazon DynamoDB
39354,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39356,SQL Server
39357,MongoDB
39357,MySQL
39357,PostgreSQL
39357,Elasticsearch
39358,Cassandra
39358,MongoDB
39358,SQL Server
39358,MySQL
39358,PostgreSQL
39358,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39358,Elasticsearch
39360,Redis
39360,MariaDB
39360,Elasticsearch
39362,PostgreSQL
39362,Oracle
39363,MySQL
39365,MongoDB
39365,Redis
39365,SQL Server
39365,MySQL
39365,SQLite
39365,MariaDB
39366,Redis
39366,MySQL
39366,PostgreSQL
39366,Amazon RDS/Aurora
39366,Elasticsearch
39367,MySQL
39368,MySQL
39368,SQLite
39368,MariaDB
39368,Amazon RDS/Aurora
39372,SQL Server
39373,MongoDB
39373,SQL Server
39373,MySQL
39374,SQL Server
39374,SQLite
39375,Redis
39375,MySQL
39375,PostgreSQL
39375,Amazon DynamoDB
39377,MongoDB
39377,Oracle
39379,MongoDB
39379,SQL Server
39379,Oracle
39379,Elasticsearch
39380,SQL Server
39382,SQL Server
39382,MySQL
39382,Oracle
39383,MongoDB
39383,SQL Server
39383,MySQL
39383,PostgreSQL
39384,SQL Server
39384,MySQL
39385,MySQL
39385,SQLite
39389,SQL Server
39389,IBM Db2
39390,PostgreSQL
39392,SQL Server
39392,MySQL
39392,SQLite
39393,MongoDB
39397,PostgreSQL
39398,MySQL
39398,Google Cloud Storage
39399,MongoDB
39399,MySQL
39399,PostgreSQL
39399,MariaDB
39401,SQL Server
39401,MySQL
39402,SQL Server
39402,MySQL
39402,PostgreSQL
39403,MongoDB
39403,MySQL
39406,SQL Server
39409,SQL Server
39409,PostgreSQL
39409,SQLite
39410,PostgreSQL
39410,SQLite
39410,Neo4j
39412,MongoDB
39412,Elasticsearch
39413,Oracle
39416,MongoDB
39416,SQL Server
39416,MySQL
39416,SQLite
39417,MongoDB
39417,SQL Server
39417,MySQL
39417,PostgreSQL
39417,Oracle
39417,MariaDB
39417,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39417,Elasticsearch
39418,SQL Server
39418,MySQL
39419,Google Cloud Storage
39421,SQL Server
39421,MySQL
39421,MariaDB
39422,MongoDB
39422,MySQL
39422,SQLite
39423,SQL Server
39423,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39428,MySQL
39429,SQL Server
39430,SQL Server
39430,PostgreSQL
39433,MongoDB
39433,MySQL
39433,PostgreSQL
39433,SQLite
39433,MariaDB
39435,MongoDB
39436,Redis
39436,MySQL
39436,Amazon DynamoDB
39436,Amazon RDS/Aurora
39437,Redis
39437,SQL Server
39439,MySQL
39439,SQLite
39439,Oracle
39441,PostgreSQL
39441,Elasticsearch
39442,MongoDB
39442,Redis
39442,SQL Server
39442,PostgreSQL
39442,Elasticsearch
39444,MongoDB
39444,SQLite
39447,Cassandra
39447,PostgreSQL
39448,MongoDB
39448,MySQL
39448,MariaDB
39448,Amazon DynamoDB
39449,MongoDB
39449,Redis
39449,MySQL
39449,SQLite
39449,MariaDB
39449,Amazon DynamoDB
39449,Amazon RDS/Aurora
39449,Google BigQuery
39449,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39449,Google Cloud Storage
39450,MongoDB
39450,SQL Server
39450,MySQL
39452,MongoDB
39452,MySQL
39452,PostgreSQL
39452,Oracle
39452,Apache HBase
39452,Apache Hive
39452,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39455,PostgreSQL
39456,SQL Server
39456,Neo4j
39459,PostgreSQL
39463,SQL Server
39463,PostgreSQL
39465,MongoDB
39465,MySQL
39465,Amazon DynamoDB
39465,Amazon RDS/Aurora
39465,Elasticsearch
39466,SQL Server
39468,MongoDB
39468,MySQL
39468,SQLite
39468,Oracle
39469,MySQL
39469,Elasticsearch
39470,MySQL
39475,MySQL
39475,PostgreSQL
39475,SQLite
39476,SQL Server
39479,MySQL
39479,SQLite
39481,PostgreSQL
39482,MySQL
39482,PostgreSQL
39483,SQL Server
39483,MySQL
39483,PostgreSQL
39484,SQL Server
39487,SQL Server
39488,MongoDB
39488,PostgreSQL
39490,MongoDB
39490,Redis
39492,SQL Server
39493,SQL Server
39494,MySQL
39495,MongoDB
39497,MongoDB
39497,SQL Server
39497,MySQL
39497,PostgreSQL
39497,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39498,Cassandra
39498,PostgreSQL
39498,Elasticsearch
39502,SQL Server
39502,MySQL
39503,MongoDB
39503,MySQL
39503,PostgreSQL
39503,SQLite
39503,Elasticsearch
39504,MongoDB
39504,Redis
39504,SQL Server
39504,MySQL
39504,PostgreSQL
39504,SQLite
39508,Redis
39508,MySQL
39508,PostgreSQL
39508,SQLite
39508,Google Cloud Storage
39508,Elasticsearch
39512,SQL Server
39513,MongoDB
39513,Redis
39513,MySQL
39513,Elasticsearch
39514,MongoDB
39514,PostgreSQL
39514,Oracle
39514,Amazon DynamoDB
39516,SQL Server
39516,SQLite
39516,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
39517,MongoDB
39517,MySQL
39517,Amazon RDS/Aurora
39518,SQL Server
39519,Amazon DynamoDB
39519,Amazon RDS/Aurora
39522,SQL Server
39522,MySQL
